ID,age,sex,eye_d,training,block,trial,condition,vertical_pos,preonset,onset_timestamp,detection_timestamp,detection,detected,obj_type,indicated_obj,obj_location,indicated_location,decision_time,accuracy
7,30,Female,Right,True,0,1,Incongruent,0.00153462,0.3486498,2022-08-03 13:23:30.168,2022-08-03 13:23:44.171,14,False,1,4,4,3,12.77073,False
7,30,Female,Right,True,0,2,Random,0.001127647,0.4626589,2022-08-03 13:23:58.414,2022-08-03 13:24:12.422,14,False,4,1,1,2,8.393986,False
7,30,Female,Right,True,0,3,Congruent,-0.0006716172,0.417533,2022-08-03 13:24:22.273,2022-08-03 13:24:27.390,5.117594,True,2,2,3,3,2.729685,True
7,30,Female,Right,True,0,4,Congruent,-0.001901632,0.318536,2022-08-03 13:24:31.477,2022-08-03 13:24:36.329,4.847563,True,2,2,3,3,2.609684,True
7,30,Female,Right,True,0,5,Random,0.002514652,0.4267888,2022-08-03 13:24:40.389,2022-08-03 13:24:46.874,6.476557,True,4,4,1,1,1.968437,True
7,30,Female,Right,True,0,6,Incongruent,0.002846421,0.4344087,2022-08-03 13:24:50.295,2022-08-03 13:24:53.764,3.459187,True,1,1,2,2,1.186499,True
7,30,Female,Right,True,0,7,Incongruent,-0.002730645,0.5128177,2022-08-03 13:24:56.475,2022-08-03 13:24:59.224,2.750189,True,1,1,4,4,1.836989,True
7,30,Female,Right,True,0,8,Novel,0.002947601,0.5981988,2022-08-03 13:25:02.696,2022-08-03 13:25:05.604,2.904164,True,3,3,2,2,2.21327,True
7,30,Female,Right,True,0,9,Incongruent,-0.003209222,0.4469206,2022-08-03 13:25:09.274,2022-08-03 13:25:12.697,3.415481,True,1,1,3,3,1.978484,True
7,30,Female,Right,True,0,10,Novel,-0.002183251,0.3611212,2022-08-03 13:25:16.043,2022-08-03 13:25:19.420,3.371865,True,3,3,2,2,1.048122,True
7,30,Female,Right,True,0,11,Incongruent,0.00470471,0.4419527,2022-08-03 13:25:21.931,2022-08-03 13:25:24.570,2.635503,True,1,1,4,4,1.716466,True
7,30,Female,Right,True,0,12,Random,0.0008785683,0.5927849,2022-08-03 13:25:27.882,2022-08-03 13:25:31.708,3.817919,True,4,4,2,2,1.208392,True
7,30,Female,Right,True,0,13,Novel,0.001432017,0.4156319,2022-08-03 13:25:34.339,2022-08-03 13:25:37.715,3.373972,True,3,3,4,4,1.522796,True
7,30,Female,Right,True,0,14,Random,0.0005726353,0.3130634,2022-08-03 13:25:40.573,2022-08-03 13:25:43.939,3.360545,True,4,4,2,2,1.343793,True
7,30,Female,Right,True,0,15,Novel,-0.00114801,0.3355369,2022-08-03 13:25:46.660,2022-08-03 13:25:49.239,2.570187,True,3,3,4,4,1.320178,True
7,30,Female,Right,True,0,16,Congruent,0.002543471,0.3577411,2022-08-03 13:25:51.934,2022-08-03 13:25:54.370,2.437692,True,2,2,1,1,2.324748,True
7,30,Female,Right,True,0,17,Random,0.003460404,0.3447883,2022-08-03 13:25:58.063,2022-08-03 13:26:01.730,3.663119,True,4,4,3,3,2.639421,True
7,30,Female,Right,True,0,18,Congruent,0.003469336,0.3158234,2022-08-03 13:26:05.692,2022-08-03 13:26:07.639,1.944706,True,2,2,4,4,1.987378,True
