ID,age,sex,eye_d,training,block,trial,condition,vertical_pos,preonset,onset_timestamp,detection_timestamp,detection,detected,obj_type,indicated_obj,obj_location,indicated_location,decision_time,accuracy
32,28,Male,Right,True,0,1,Random,0.0001966567,0.5037214,2022-08-23 13:11:00.593,2022-08-23 13:11:14.610,14,False,3,1,2,3,38.88928,False
32,28,Male,Right,True,0,2,Incongruent,-0.002972004,0.3170269,2022-08-23 13:11:54.822,2022-08-23 13:12:08.834,14,False,1,2,3,4,5.537539,False
32,28,Male,Right,True,0,3,Incongruent,-0.002383434,0.3784422,2022-08-23 13:12:15.753,2022-08-23 13:12:29.760,14,False,1,1,3,3,3.175136,True
32,28,Male,Right,True,0,4,Novel,-0.00188394,0.4415819,2022-08-23 13:12:34.395,2022-08-23 13:12:48.403,14,False,4,1,2,3,3.44877,False
32,28,Male,Right,True,0,5,Congruent,-0.003681437,0.4741401,2022-08-23 13:12:53.352,2022-08-23 13:13:07.370,14,False,2,2,4,4,7.669117,True
32,28,Male,Right,True,0,6,Congruent,-0.003016856,0.5298845,2022-08-23 13:13:16.575,2022-08-23 13:13:27.391,10.8151,True,2,2,1,1,11.12159,True
32,28,Male,Right,True,0,7,Novel,-0.004172159,0.3343764,2022-08-23 13:13:39.863,2022-08-23 13:13:53.872,14,False,4,4,3,3,5.914382,True
32,28,Male,Right,True,0,8,Novel,-0.004904049,0.468875,2022-08-23 13:14:01.275,2022-08-23 13:14:15.292,14,False,4,1,3,4,50.032,False
32,28,Male,Right,True,0,9,Incongruent,0.002729541,0.4876598,2022-08-23 13:15:06.830,2022-08-23 13:15:20.860,14,False,1,2,2,3,7.564818,False
32,28,Male,Right,True,0,10,Random,-0.004609982,0.4067398,2022-08-23 13:15:29.850,2022-08-23 13:15:43.858,14,False,3,2,1,3,3.799662,False
32,28,Male,Right,True,0,11,Random,0.002713626,0.3882984,2022-08-23 13:15:49.064,2022-08-23 13:16:03.070,14,False,3,3,2,2,5.501009,True
32,28,Male,Right,True,0,12,Random,-0.00188683,0.5122125,2022-08-23 13:16:10.108,2022-08-23 13:16:24.127,14,False,3,1,1,2,26.54601,False
32,28,Male,Right,True,0,13,Incongruent,0.0003386135,0.5359343,2022-08-23 13:16:52.246,2022-08-23 13:17:06.255,14,False,1,1,2,2,5.321261,True
32,28,Male,Right,True,0,14,Incongruent,0.0008749529,0.5789221,2022-08-23 13:17:13.162,2022-08-23 13:17:24.032,10.86246,True,1,1,2,2,1.451263,True
32,28,Male,Right,True,0,15,Novel,0.002775698,0.3364706,2022-08-23 13:17:26.822,2022-08-23 13:17:30.354,3.522147,True,4,4,1,1,4.198669,True
32,28,Male,Right,True,0,16,Random,-0.0009360914,0.3406247,2022-08-23 13:17:35.915,2022-08-23 13:17:40.916,5.005719,True,3,3,4,4,10.07918,True
32,28,Male,Right,True,0,17,Congruent,0.003094442,0.3476887,2022-08-23 13:17:52.358,2022-08-23 13:18:00.031,7.674383,True,2,2,1,1,4.56276,True
32,28,Male,Right,True,0,18,Novel,0.002039053,0.5682465,2022-08-23 13:18:06.179,2022-08-23 13:18:11.382,5.181845,True,4,4,1,1,4.645625,True
32,28,Male,Right,True,0,19,Congruent,0.001484119,0.5504128,2022-08-23 13:18:17.599,2022-08-23 13:18:24.037,6.434436,True,2,2,1,1,3.443547,True
32,28,Male,Right,True,0,20,Congruent,-0.001181546,0.579331,2022-08-23 13:18:29.094,2022-08-23 13:18:37.396,8.298469,True,2,2,3,3,6.615278,True
32,28,Male,Right,False,1,1,Congruent,-0.003767804,0.3860853,2022-08-23 13:26:32.902,2022-08-23 13:26:39.896,7,False,2,2,3,3,2.194383,True
32,28,Male,Right,False,1,2,Novel,0.0006804555,0.4001882,2022-08-23 13:26:43.521,2022-08-23 13:26:50.550,7,False,4,3,2,1,4.91732,False
32,28,Male,Right,False,1,3,Incongruent,0.002142627,0.5421904,2022-08-23 13:26:57.006,2022-08-23 13:27:04.022,7,False,1,1,2,2,2.641565,True
32,28,Male,Right,False,1,4,Incongruent,-0.004525461,0.5564606,2022-08-23 13:27:08.244,2022-08-23 13:27:15.246,7,False,1,1,2,2,1.726828,True
32,28,Male,Right,False,1,5,Random,0.003654349,0.301757,2022-08-23 13:27:18.296,2022-08-23 13:27:25.271,6.975427,True,3,3,4,4,4.666912,True
32,28,Male,Right,False,1,6,Congruent,0.001864494,0.3991228,2022-08-23 13:27:31.343,2022-08-23 13:27:38.346,7,False,2,2,3,3,3.940871,True
32,28,Male,Right,False,1,7,Random,-0.0008173566,0.5273461,2022-08-23 13:27:43.831,2022-08-23 13:27:50.834,7,False,3,3,4,4,3.535939,True
32,28,Male,Right,False,1,8,Congruent,0.004419888,0.5618144,2022-08-23 13:27:55.938,2022-08-23 13:28:02.942,7,False,2,2,4,4,4.336221,True
32,28,Male,Right,False,1,9,Novel,-0.000847985,0.5657362,2022-08-23 13:28:08.876,2022-08-23 13:28:15.877,7,False,4,1,1,2,3.160509,False
32,28,Male,Right,False,1,10,Congruent,-0.004153855,0.5405121,2022-08-23 13:28:20.608,2022-08-23 13:28:27.606,7,False,2,2,4,4,4.362586,True
32,28,Male,Right,False,1,11,Novel,-0.001867958,0.4834946,2022-08-23 13:28:33.477,2022-08-23 13:28:40.473,7,False,4,4,2,2,1.58867,True
32,28,Male,Right,False,1,12,Random,0.000507738,0.5031006,2022-08-23 13:28:43.568,2022-08-23 13:28:50.581,7,False,3,3,2,2,1.878817,True
32,28,Male,Right,False,1,13,Incongruent,0.00395539,0.3394612,2022-08-23 13:28:53.802,2022-08-23 13:29:00.814,7,False,1,1,4,4,1.877725,True
32,28,Male,Right,False,1,14,Novel,-0.0002450673,0.4729393,2022-08-23 13:29:04.186,2022-08-23 13:29:11.201,7,False,4,4,2,2,2.575123,True
32,28,Male,Right,False,1,15,Novel,-0.001718203,0.3257736,2022-08-23 13:29:15.134,2022-08-23 13:29:22.147,7,False,4,4,1,1,4.431217,True
32,28,Male,Right,False,1,16,Congruent,-0.001185048,0.4330354,2022-08-23 13:29:28.040,2022-08-23 13:29:35.037,7,False,2,1,4,2,3.286314,False
32,28,Male,Right,False,1,17,Congruent,-0.004824064,0.5900489,2022-08-23 13:29:39.929,2022-08-23 13:29:46.929,7,False,2,2,3,3,3.91759,True
32,28,Male,Right,False,1,18,Novel,1.962483E-05,0.3401514,2022-08-23 13:29:52.205,2022-08-23 13:29:58.486,6.275051,True,4,4,3,3,2.066636,True
32,28,Male,Right,False,1,19,Novel,-0.001053755,0.3103524,2022-08-23 13:30:01.867,2022-08-23 13:30:03.501,1.62499,True,4,4,1,1,2.484898,True
32,28,Male,Right,False,1,20,Random,0.0010619,0.4161466,2022-08-23 13:30:07.418,2022-08-23 13:30:09.871,2.434577,True,3,3,2,2,1.921934,True
32,28,Male,Right,False,1,21,Random,0.003339001,0.4467418,2022-08-23 13:30:13.243,2022-08-23 13:30:15.789,2.536443,True,3,3,1,1,2.305398,True
32,28,Male,Right,False,1,22,Incongruent,-0.002230576,0.3029767,2022-08-23 13:30:19.426,2022-08-23 13:30:21.387,1.95903,True,1,1,3,3,3.100469,True
32,28,Male,Right,False,1,23,Congruent,0.004858749,0.4617863,2022-08-23 13:30:25.962,2022-08-23 13:30:27.864,1.898077,True,2,2,4,4,3.060902,True
32,28,Male,Right,False,1,24,Congruent,0.002291224,0.5347041,2022-08-23 13:30:32.474,2022-08-23 13:30:39.488,7,False,2,2,4,4,5.825769,True
32,28,Male,Right,False,1,25,Novel,-0.003275032,0.3425927,2022-08-23 13:30:46.654,2022-08-23 13:30:49.062,2.400882,True,4,4,1,1,2.439743,True
32,28,Male,Right,False,1,26,Random,-0.001983751,0.4835967,2022-08-23 13:30:52.992,2022-08-23 13:30:55.552,2.557886,True,3,3,2,2,1.723387,True
32,28,Male,Right,False,1,27,Random,0.00223963,0.3754178,2022-08-23 13:30:58.687,2022-08-23 13:31:01.576,2.87999,True,3,3,2,2,1.4363,True
32,28,Male,Right,False,1,28,Novel,-0.004609696,0.5663093,2022-08-23 13:31:04.615,2022-08-23 13:31:07.918,3.304783,True,4,4,3,3,1.319612,True
32,28,Male,Right,False,1,29,Random,-0.004397785,0.3124076,2022-08-23 13:31:10.562,2022-08-23 13:31:14.242,3.675037,True,3,3,1,1,3.137994,True
32,28,Male,Right,False,1,30,Random,-0.002076772,0.4916901,2022-08-23 13:31:18.896,2022-08-23 13:31:20.763,1.864359,True,3,3,4,4,1.20415,True
32,28,Male,Right,False,1,31,Random,-0.004224979,0.4389394,2022-08-23 13:31:23.411,2022-08-23 13:31:25.511,2.088488,True,3,3,2,2,1.321175,True
32,28,Male,Right,False,1,32,Novel,0.004901008,0.5681103,2022-08-23 13:31:28.417,2022-08-23 13:31:32.812,4.391121,True,4,4,2,2,1.387443,True
32,28,Male,Right,False,1,33,Incongruent,0.004690623,0.3188744,2022-08-23 13:31:35.536,2022-08-23 13:31:37.532,1.977673,True,1,1,4,4,1.050283,True
32,28,Male,Right,False,1,34,Incongruent,0.002644336,0.3028443,2022-08-23 13:31:39.894,2022-08-23 13:31:41.572,1.670261,True,1,1,4,4,1.237673,True
32,28,Male,Right,False,1,35,Novel,-7.992424E-05,0.5835397,2022-08-23 13:31:44.406,2022-08-23 13:31:47.750,3.328249,True,4,4,2,2,1.427285,True
32,28,Male,Right,False,1,36,Congruent,0.001797844,0.3407116,2022-08-23 13:31:50.539,2022-08-23 13:31:54.139,3.597433,True,2,3,4,2,1.192511,False
32,28,Male,Right,False,1,37,Congruent,-0.002874483,0.5668373,2022-08-23 13:31:56.915,2022-08-23 13:32:01.209,4.288377,True,2,2,4,4,3.292636,True
32,28,Male,Right,False,1,38,Congruent,-0.004985332,0.3159906,2022-08-23 13:32:05.837,2022-08-23 13:32:09.228,3.394351,True,2,2,1,1,4.043293,True
32,28,Male,Right,False,1,39,Incongruent,-0.002096012,0.5415958,2022-08-23 13:32:14.821,2022-08-23 13:32:17.633,2.793422,True,1,1,4,4,1.61904,True
32,28,Male,Right,False,1,40,Congruent,-0.004427008,0.3316421,2022-08-23 13:32:20.615,2022-08-23 13:32:23.455,2.857699,True,2,2,4,4,3.498802,True
32,28,Male,Right,False,1,41,Incongruent,0.002428998,0.4373864,2022-08-23 13:32:28.427,2022-08-23 13:32:30.485,2.071578,True,1,1,2,2,1.05271,True
32,28,Male,Right,False,1,42,Incongruent,-0.002825862,0.4541936,2022-08-23 13:32:33.014,2022-08-23 13:32:36.059,3.036239,True,1,1,4,4,1.186278,True
32,28,Male,Right,False,1,43,Incongruent,0.0009222003,0.5391769,2022-08-23 13:32:38.815,2022-08-23 13:32:41.465,2.658615,True,1,1,4,4,1.042312,True
32,28,Male,Right,False,1,44,Random,0.000414073,0.4533688,2022-08-23 13:32:43.963,2022-08-23 13:32:47.564,3.597011,True,3,3,2,2,1.371035,True
32,28,Male,Right,False,1,45,Incongruent,0.004703724,0.4540835,2022-08-23 13:32:50.397,2022-08-23 13:32:53.110,2.704395,True,1,1,2,2,1.210913,True
32,28,Male,Right,False,1,46,Novel,0.0009983475,0.3586775,2022-08-23 13:32:55.703,2022-08-23 13:32:58.779,3.061719,True,4,4,2,2,1.427916,True
32,28,Male,Right,False,1,47,Random,0.0002975436,0.3257715,2022-08-23 13:33:01.544,2022-08-23 13:33:04.408,2.858773,True,3,3,4,4,1.651485,True
32,28,Male,Right,False,1,48,Random,0.001300411,0.3876623,2022-08-23 13:33:07.453,2022-08-23 13:33:11.299,3.836012,True,3,3,1,1,3.432283,True
32,28,Male,Right,False,1,49,Incongruent,-0.004528855,0.4278624,2022-08-23 13:33:16.183,2022-08-23 13:33:19.431,3.249307,True,1,1,2,2,1.072033,True
32,28,Male,Right,False,1,50,Incongruent,0.0002342886,0.3677248,2022-08-23 13:33:21.888,2022-08-23 13:33:24.002,2.103857,True,1,1,4,4,1.146259,True
32,28,Male,Right,False,1,51,Novel,0.002383162,0.4689576,2022-08-23 13:33:26.620,2022-08-23 13:33:28.955,2.335456,True,4,4,2,2,1.092549,True
32,28,Male,Right,False,1,52,Congruent,-0.003658717,0.4850001,2022-08-23 13:33:31.535,2022-08-23 13:33:34.937,3.380347,True,2,4,1,3,3.197634,False
32,28,Male,Right,False,2,1,Novel,0.003900574,0.3745948,2022-08-23 13:40:33.039,2022-08-23 13:40:36.506,3.461766,True,4,4,1,1,4.091242,True
32,28,Male,Right,False,2,2,Novel,0.0002963739,0.5044781,2022-08-23 13:40:42.121,2022-08-23 13:40:45.252,3.127622,True,4,4,2,2,1.342421,True
32,28,Male,Right,False,2,3,Novel,0.0005233819,0.4400898,2022-08-23 13:40:48.042,2022-08-23 13:40:50.396,2.340238,True,4,4,1,1,1.795447,True
32,28,Male,Right,False,2,4,Congruent,-0.003816468,0.3526496,2022-08-23 13:40:53.580,2022-08-23 13:40:56.082,2.478223,True,2,2,3,3,2.774034,True
32,28,Male,Right,False,2,5,Novel,0.003392787,0.3467788,2022-08-23 13:41:00.215,2022-08-23 13:41:02.129,1.909027,True,4,4,1,1,2.190086,True
32,28,Male,Right,False,2,6,Random,-0.0004371568,0.4402478,2022-08-23 13:41:05.779,2022-08-23 13:41:07.906,2.131075,True,3,3,1,1,1.542681,True
32,28,Male,Right,False,2,7,Random,0.003144772,0.3219071,2022-08-23 13:41:10.783,2022-08-23 13:41:15.310,4.523759,True,3,3,4,4,1.7124,True
32,28,Male,Right,False,2,8,Incongruent,0.00426293,0.3109215,2022-08-23 13:41:18.356,2022-08-23 13:41:18.650,0.2900512,True,1,4,3,1,4.426261,False
32,28,Male,Right,False,2,9,Congruent,-0.002405533,0.4811085,2022-08-23 13:41:24.568,2022-08-23 13:41:26.872,2.306289,True,2,2,3,3,2.994709,True
32,28,Male,Right,False,2,10,Novel,0.003705191,0.3531759,2022-08-23 13:41:31.263,2022-08-23 13:41:34.914,3.640386,True,4,4,1,1,1.448569,True
32,28,Male,Right,False,2,11,Incongruent,-0.002556382,0.3219668,2022-08-23 13:41:37.697,2022-08-23 13:41:39.895,2.191615,True,1,1,4,4,1.607454,True
32,28,Male,Right,False,2,12,Incongruent,-0.003981285,0.4488516,2022-08-23 13:41:42.963,2022-08-23 13:41:44.961,1.988454,True,1,1,3,3,2.141593,True
32,28,Male,Right,False,2,13,Incongruent,0.004102099,0.4721638,2022-08-23 13:41:48.581,2022-08-23 13:41:50.887,2.278656,True,1,1,3,3,1.163738,True
32,28,Male,Right,False,2,14,Congruent,0.00373648,0.5204844,2022-08-23 13:41:53.585,2022-08-23 13:41:55.679,2.08743,True,2,2,4,4,2.83426,True
32,28,Male,Right,False,2,15,Incongruent,0.002213787,0.369581,2022-08-23 13:41:59.885,2022-08-23 13:42:02.381,2.49071,True,1,1,3,3,1.610694,True
32,28,Male,Right,False,2,16,Incongruent,-0.004125564,0.4690314,2022-08-23 13:42:05.469,2022-08-23 13:42:07.953,2.477016,True,1,1,3,3,0.6008022,True
32,28,Male,Right,False,2,17,Random,-0.0004794053,0.5657215,2022-08-23 13:42:10.138,2022-08-23 13:42:13.818,3.673957,True,3,3,2,2,2.689252,True
32,28,Male,Right,False,2,18,Novel,-0.003958285,0.3434787,2022-08-23 13:42:17.868,2022-08-23 13:42:20.339,2.469385,True,4,3,1,4,6.079976,False
32,28,Male,Right,False,2,19,Novel,0.003329865,0.5135747,2022-08-23 13:42:27.943,2022-08-23 13:42:29.958,2.010537,True,4,4,2,2,1.094489,True
32,28,Male,Right,False,2,20,Novel,-0.002461923,0.4468621,2022-08-23 13:42:32.501,2022-08-23 13:42:35.870,3.338587,True,4,4,2,2,0.921226,True
32,28,Male,Right,False,2,21,Congruent,0.0003409414,0.510376,2022-08-23 13:42:38.320,2022-08-23 13:42:40.379,2.055349,True,2,2,3,3,2.43349,True
32,28,Male,Right,False,2,22,Incongruent,7.455889E-05,0.3314875,2022-08-23 13:42:44.162,2022-08-23 13:42:46.824,2.658444,True,1,1,3,3,2.550241,True
32,28,Male,Right,False,2,23,Novel,-0.001541849,0.4692412,2022-08-23 13:42:50.853,2022-08-23 13:42:54.810,3.946526,True,4,4,1,1,2.350333,True
32,28,Male,Right,False,2,24,Random,-0.002833866,0.4914086,2022-08-23 13:42:58.671,2022-08-23 13:43:00.896,2.222425,True,3,3,4,4,2.999561,True
32,28,Male,Right,False,2,25,Novel,0.0003122347,0.4285761,2022-08-23 13:43:05.361,2022-08-23 13:43:08.193,2.825476,True,4,4,3,3,2.199639,True
32,28,Male,Right,False,2,26,Random,-0.001339063,0.4873119,2022-08-23 13:43:11.880,2022-08-23 13:43:13.798,1.914084,True,3,3,1,1,1.540122,True
32,28,Male,Right,False,2,27,Random,-0.0008056872,0.4985647,2022-08-23 13:43:16.845,2022-08-23 13:43:18.904,2.054809,True,3,3,4,4,1.734187,True
32,28,Male,Right,False,2,28,Incongruent,0.004097033,0.4500503,2022-08-23 13:43:22.101,2022-08-23 13:43:24.690,2.589597,True,1,1,4,4,1.78494,True
32,28,Male,Right,False,2,29,Random,0.003800681,0.4988761,2022-08-23 13:43:27.992,2022-08-23 13:43:30.762,2.760386,True,3,3,4,4,1.432022,True
32,28,Male,Right,False,2,30,Novel,-0.001658751,0.3217444,2022-08-23 13:43:33.556,2022-08-23 13:43:35.692,2.144173,True,4,4,3,3,2.192007,True
32,28,Male,Right,False,2,31,Novel,0.004543706,0.5070784,2022-08-23 13:43:39.414,2022-08-23 13:43:42.929,3.507182,True,4,4,2,2,2.120766,True
32,28,Male,Right,False,2,32,Novel,-0.0008133785,0.5713916,2022-08-23 13:43:46.641,2022-08-23 13:43:49.353,2.702267,True,4,4,2,2,1.498145,True
32,28,Male,Right,False,2,33,Congruent,0.004111866,0.3883746,2022-08-23 13:43:52.262,2022-08-23 13:43:56.211,3.953897,True,2,2,3,3,1.834339,True
32,28,Male,Right,False,2,34,Incongruent,-0.003519908,0.5145534,2022-08-23 13:43:59.570,2022-08-23 13:44:01.685,2.111718,True,1,1,3,3,1.622714,True
32,28,Male,Right,False,2,35,Congruent,-0.001819114,0.4619769,2022-08-23 13:44:04.786,2022-08-23 13:44:11.618,6.825662,True,2,1,3,2,2.621998,False
32,28,Male,Right,False,2,36,Congruent,8.640485E-05,0.5949427,2022-08-23 13:44:15.871,2022-08-23 13:44:18.461,2.604567,True,2,2,1,1,2.47908,True
32,28,Male,Right,False,2,37,Congruent,0.001272815,0.3132685,2022-08-23 13:44:22.256,2022-08-23 13:44:25.096,2.836974,True,2,2,4,4,3.007566,True
32,28,Male,Right,False,2,38,Incongruent,0.003710435,0.575813,2022-08-23 13:44:29.705,2022-08-23 13:44:32.106,2.389477,True,1,1,3,3,1.906555,True
32,28,Male,Right,False,2,39,Incongruent,0.002141764,0.5375411,2022-08-23 13:44:35.565,2022-08-23 13:44:38.412,2.836592,True,1,1,3,3,1.677072,True
32,28,Male,Right,False,2,40,Random,-0.002880991,0.5393015,2022-08-23 13:44:41.645,2022-08-23 13:44:44.642,2.992577,True,3,3,2,2,1.654052,True
32,28,Male,Right,False,2,41,Congruent,-0.002237282,0.5216185,2022-08-23 13:44:47.824,2022-08-23 13:44:49.959,2.139987,True,2,1,3,2,2.250364,False
32,28,Male,Right,False,2,42,Congruent,-0.000482542,0.5390273,2022-08-23 13:44:53.787,2022-08-23 13:44:56.776,2.981575,True,2,2,3,3,1.572462,True
32,28,Male,Right,False,2,43,Congruent,0.002605979,0.4699001,2022-08-23 13:44:59.838,2022-08-23 13:45:01.822,1.975551,True,2,2,4,4,2.220884,True
32,28,Male,Right,False,2,44,Random,-0.003503123,0.5016773,2022-08-23 13:45:05.549,2022-08-23 13:45:08.569,3.015172,True,3,3,4,4,1.118677,True
32,28,Male,Right,False,2,45,Random,0.002118611,0.4370953,2022-08-23 13:45:11.152,2022-08-23 13:45:15.114,3.969485,True,3,3,1,1,2.952828,True
32,28,Male,Right,False,2,46,Congruent,-0.003991401,0.5113153,2022-08-23 13:45:19.590,2022-08-23 13:45:21.404,1.807154,True,2,3,4,2,2.834361,False
32,28,Male,Right,False,2,47,Incongruent,-0.003738419,0.5872308,2022-08-23 13:45:25.834,2022-08-23 13:45:27.591,1.751934,True,1,1,4,4,1.162961,True
32,28,Male,Right,False,2,48,Random,0.002358872,0.4366906,2022-08-23 13:45:30.221,2022-08-23 13:45:33.456,3.227849,True,3,3,2,2,1.397118,True
32,28,Male,Right,False,2,49,Random,-0.004120313,0.5225019,2022-08-23 13:45:36.389,2022-08-23 13:45:38.807,2.411738,True,3,3,2,2,1.471186,True
32,28,Male,Right,False,2,50,Incongruent,0.00451921,0.3814027,2022-08-23 13:45:41.683,2022-08-23 13:45:45.858,4.173298,True,1,1,3,3,2.579208,True
32,28,Male,Right,False,2,51,Congruent,-0.002812315,0.4116837,2022-08-23 13:45:49.860,2022-08-23 13:45:51.997,2.135432,True,2,2,4,4,1.875301,True
32,28,Male,Right,False,2,52,Random,-0.000248435,0.3164097,2022-08-23 13:45:55.210,2022-08-23 13:45:59.157,3.943194,True,3,3,2,2,3.483194,True
32,28,Male,Right,False,3,1,Random,-0.00401001,0.3308235,2022-08-23 13:53:45.392,2022-08-23 13:53:52.098,6.700719,True,3,3,2,2,1.209998,True
32,28,Male,Right,False,3,2,Random,-0.003353134,0.4056497,2022-08-23 13:53:54.740,2022-08-23 13:53:58.856,4.105079,True,3,3,4,4,1.209189,True
