ID,age,sex,eye_d,training,block,trial,condition,vertical_pos,preonset,onset_timestamp,detection_timestamp,detection,detected,obj_type,indicated_obj,obj_location,indicated_location,decision_time,accuracy
5,25,Female,Left,True,0,1,Random,-0.002074365,0.5235225,2022-08-01 19:48:52.309,2022-08-01 19:48:58.658,6.344461,True,2,2,3,3,7.505538,True
5,25,Female,Left,True,0,2,Random,0.003979548,0.3274784,2022-08-01 19:49:07.502,2022-08-01 19:49:17.223,9.718057,True,2,2,4,4,14.14336,True
5,25,Female,Left,True,0,3,Novel,0.0018515,0.4021328,2022-08-01 19:49:32.811,2022-08-01 19:49:43.850,11.03557,True,4,4,3,3,1.183351,True
5,25,Female,Left,True,0,4,Random,0.00224748,0.5802845,2022-08-01 19:49:46.627,2022-08-01 19:49:49.313,2.680685,True,2,2,3,3,3.81904,True
5,25,Female,Left,True,0,5,Incongruent,-0.002281474,0.5876831,2022-08-01 19:49:54.738,2022-08-01 19:49:57.779,3.038476,True,3,3,1,1,3.595997,True
5,25,Female,Left,True,0,6,Incongruent,-0.004427441,0.3792979,2022-08-01 19:50:02.779,2022-08-01 19:50:09.955,7.170205,True,3,3,4,4,2.522353,True
5,25,Female,Left,True,0,7,Congruent,0.004724852,0.4931187,2022-08-01 19:50:13.993,2022-08-01 19:50:17.796,3.797644,True,1,1,3,3,3.399577,True
5,25,Female,Left,True,0,8,Incongruent,0.00124366,0.5659559,2022-08-01 19:50:22.776,2022-08-01 19:50:26.106,3.328367,True,3,3,1,1,1.525313,True
5,25,Female,Left,True,0,9,Novel,0.003662036,0.5540789,2022-08-01 19:50:29.208,2022-08-01 19:50:33.054,3.843225,True,4,4,2,2,3.528602,True
5,25,Female,Left,True,0,10,Novel,-0.001707913,0.475325,2022-08-01 19:50:38.077,2022-08-01 19:50:43.308,5.227937,True,4,4,2,2,2.440665,True
5,25,Female,Left,True,0,11,Novel,0.0001015575,0.435636,2022-08-01 19:50:47.191,2022-08-01 19:50:57.605,10.41074,True,4,4,2,2,0.8067641,True
5,25,Female,Left,True,0,12,Congruent,0.001303019,0.3091904,2022-08-01 19:50:59.735,2022-08-01 19:51:03.626,3.886995,True,1,1,4,4,1.274583,True
5,25,Female,Left,True,0,13,Incongruent,-0.001600845,0.4951938,2022-08-01 19:51:06.415,2022-08-01 19:51:09.791,3.373581,True,3,3,1,1,1.117828,True
5,25,Female,Left,True,0,14,Incongruent,-0.001966806,0.3751308,2022-08-01 19:51:12.291,2022-08-01 19:51:19.553,7.261139,True,3,3,1,1,1.351721,True
5,25,Female,Left,True,0,15,Random,-0.003323311,0.5518875,2022-08-01 19:51:22.465,2022-08-01 19:51:33.863,11.39308,True,2,2,1,1,1.499952,True
5,25,Female,Left,True,0,16,Congruent,-0.00427774,0.3840886,2022-08-01 19:51:36.763,2022-08-01 19:51:48.697,11.93075,True,1,1,4,4,1.498784,True
5,25,Female,Left,True,0,17,Random,0.001162298,0.338153,2022-08-01 19:51:51.573,2022-08-01 19:51:55.107,3.529936,True,2,2,3,3,1.388155,True
5,25,Female,Left,True,0,18,Novel,0.001823252,0.5525249,2022-08-01 19:51:58.052,2022-08-01 19:52:07.283,9.227249,True,4,4,2,2,1.130157,True
5,25,Female,Left,True,0,19,Congruent,0.003088471,0.4107602,2022-08-01 19:52:09.835,2022-08-01 19:52:12.679,2.836461,True,1,1,2,2,0.9083931,True
5,25,Female,Left,True,0,20,Congruent,-0.0008980422,0.5592677,2022-08-01 19:52:15.186,2022-08-01 19:52:22.093,6.902916,True,1,1,4,4,1.567102,True
5,25,Female,Left,False,1,1,Novel,0.001002833,0.3448687,2022-08-01 19:59:22.979,2022-08-01 19:59:29.993,7,False,4,4,1,1,1.171059,True
5,25,Female,Left,False,1,2,Random,0.003575913,0.5854232,2022-08-01 19:59:32.785,2022-08-01 19:59:34.933,2.143672,True,2,2,4,4,2.013575,True
5,25,Female,Left,False,1,3,Incongruent,0.002544864,0.3045897,2022-08-01 19:59:38.281,2022-08-01 19:59:45.143,6.856691,True,3,3,2,2,1.383414,True
5,25,Female,Left,False,1,4,Novel,0.001055365,0.4452147,2022-08-01 19:59:47.976,2022-08-01 19:59:53.431,5.450221,True,4,4,2,2,1.032963,True
5,25,Female,Left,False,1,5,Congruent,-0.001610678,0.3196023,2022-08-01 19:59:55.817,2022-08-01 20:00:01.719,5.899127,True,1,1,2,2,0.9154492,True
5,25,Female,Left,False,1,6,Congruent,0.00038032,0.3792394,2022-08-01 20:00:04.028,2022-08-01 20:00:09.282,5.249744,True,1,1,2,2,1.10845,True
