"ID" "condition" "time" "time_n" "time_nmd"
"1" 1 "Congruent" 2.281733 -0.164835949325983 -0.380861815714516
"2" 1 "Incongruent" 2.3353395 0.058927154754537 -0.265418831777957
"3" 1 "Novel" 2.4814115 0.418468894454171 0.0491509974327002
"4" 1 "Random" 2.6477695 0.77410578172665 0.407407252209977
"5" 2 "Congruent" 2.146807 -0.0112825495396547 -0.223249036747533
"6" 2 "Incongruent" 2.469309 0.763347353828115 0.315805355522486
"7" 2 "Novel" 2.436361 0.814576916104167 0.260733560257612
"8" 2 "Random" 2.435621 0.605418208772572 0.259496667927394
"9" 3 "Congruent" 2.419354 0.0443975099612455 -0.175114903702985
"10" 3 "Incongruent" 3.0381035 1.0282089768296 0.676858386557673
"11" 3 "Novel" 2.066037 -0.375057825230843 -0.661606847526817
"12" 3 "Random" 2.696258 0.738080829025762 0.206161868183436
"13" 4 "Congruent" 2.279459 0.28678385643497 0.0326341728552666
"14" 4 "Incongruent" 2.501601 0.695043510240833 0.384308783625354
"15" 4 "Novel" 1.8543045 -0.415770040651104 -0.640430998542539
"16" 4 "Random" 2.433247 0.540916369389884 0.276097070646365
"17" 5 "Congruent" 2.433229 0.366011397877642 -0.200314654064079
"18" 5 "Incongruent" 2.903649 0.760767697568886 0.35630623141154
"19" 5 "Novel" 2.837045 0.956297228385963 0.277497555215336
"20" 5 "Random" 1.965663 -0.544574567750918 -0.753558565756382
"21" 6 "Congruent" 2.615054 0.154290074576611 -0.000504478787439739
"22" 6 "Incongruent" 2.930582 0.830165368930421 0.41294274937733
"23" 6 "Novel" 2.415407 0.261094933862857 -0.262108833270757
"24" 6 "Random" 2.3681965 -0.0546498456667754 -0.323970380788799
"25" 7 "Congruent" 1.955121 -0.0967611353425572 -0.301934330160856
"26" 7 "Incongruent" 2.145542 0.259441485467007 -0.0273494715443662
"27" 7 "Novel" 2.189871 0.271214252109149 0.0365724288637321
"28" 7 "Random" 2.55912 0.650993644562246 0.56902517545828
"29" 8 "Congruent" 3.818986 -0.21531413796479 -0.390966445783324
"30" 8 "Incongruent" 4.760123 -0.049693180188168 0.0445424668796859
"31" 8 "Novel" 4.914995 0.165642357850055 0.116209117241903
"32" 8 "Random" 4.761209 0.140207031155898 0.0450450108017207
"33" 9 "Congruent" 1.482204 0.588762419967208 -0.0933570716512513
"34" 9 "Incongruent" 1.474682 0.29925506613773 -0.111621529957553
"35" 9 "Novel" 1.366195 0.0160094919562279 -0.37504299875253
"36" 9 "Random" 1.6630955 0.706981170464033 0.345872556069365
