"ID" "condition" "time" "time_n" "time_nmd"
"133" 34 "Congruent" 2.254333 0.298190043659257 0.13491294216786
"134" 34 "Incongruent" 2.2906185 1.0145236528254 0.189675435461875
"135" 34 "Novel" 1.766209 -0.288108433552272 -0.601769404131565
"136" 34 "Random" 2.392359 0.528222974477681 0.343223366425475
"137" 35 "Congruent" 2.9151555 0.374293828635338 0.208186349573378
"138" 35 "Incongruent" 2.345206 0.0457865326481355 -0.297343561515458
"139" 35 "Novel" 3.060265 0.389262296173603 0.336894581852106
"140" 35 "Random" 2.547011 0.00523320989375443 -0.118347942241676
"141" 36 "Congruent" 1.340011 0.500967338732475 -0.107348388189329
"142" 36 "Incongruent" 2.008472 0.486837735391478 0.599980981767421
"143" 36 "Novel" 1.609462 0.421478275691433 0.177770124430279
"144" 36 "Random" 1.340325 0.0728760680303946 -0.107016130328113
"145" 37 "Congruent" 1.430897 -0.224897707150248 -0.409808048609565
"146" 37 "Incongruent" 1.788369 1.22537460852755 0.415831648584619
"147" 37 "Novel" 1.618499 0.507715678099957 0.0234892683076296
"148" 37 "Random" 1.811401 0.744232331580406 0.46902779683057
"149" 38 "Congruent" 1.539084 -0.0827135598922259 -0.544812614365204
"150" 38 "Incongruent" 1.920723 0.406148811873441 0.225044080387329
"151" 38 "Novel" 1.832452 0.323933587354374 0.0469804645029441
"152" 38 "Random" 2.034665 0.780462789077009 0.454892213082083
"153" 39 "Congruent" 3.355479 -0.00476474713917482 -0.25428434456823
"154" 39 "Incongruent" 2.904106 -0.550940256154342 -0.614797982621933
"155" 39 "Novel" 3.887917 0.449652580711719 0.170976272300829
"156" 39 "Random" 4.825307 1.19176952578287 0.919673866474961
"157" 40 "Congruent" 1.87614 0.43768293692198 0.293627044898096
"158" 40 "Incongruent" 1.6972775 -0.0895250330724654 -0.303711118328028
"159" 40 "Novel" 1.703085 -0.260516041320001 -0.284316100462709
"160" 40 "Random" 1.94398 0.714095406171249 0.520188906625737
"161" 41 "Congruent" 2.2910095 0.701347185213756 0.498957153721444
"162" 41 "Incongruent" 2.1563175 0.884451768615009 0.258630533307706
"163" 41 "Novel" 1.921191 0.00656276631861528 -0.160898147792216
"164" 41 "Random" 1.598668 -0.283251271287773 -0.736365603882407
"165" 42 "Congruent" 2.1335965 0.785813742630034 0.28424784131164
"166" 42 "Incongruent" 2.076418 0.688111369143018 0.18594461756796
"167" 42 "Novel" 2.045809 0.338471623419667 0.133320582737205
"168" 42 "Random" 1.610551 -0.139394738002839 -0.614989788472721
"169" 43 "Congruent" 1.8546985 -0.599881079495138 -0.79840219733929
"170" 43 "Incongruent" 2.546428 0.442715587754615 0.468532454817906
"171" 43 "Novel" 2.426826 0.451995711868511 0.249475846320936
"172" 43 "Random" 2.281256 0.223236502562495 -0.0171423582149745
"173" 44 "Congruent" 1.540667 -0.379636220021267 -0.588094463758251
"174" 44 "Incongruent" 2.057312 0.757276909617028 0.451528552461712
"175" 44 "Novel" 1.845785 0.497981527578935 0.0258816619431546
"176" 44 "Random" 1.921756 0.284576926740517 0.178754911786368
"177" 45 "Congruent" 3.058233 0.0181429658453304 -0.14627578622839
"178" 45 "Incongruent" 2.904764 -0.0233277081078564 -0.259795456708838
"179" 45 "Novel" 3.551712 0.708322054332793 0.218746292947346
"180" 45 "Random" 3.37449 0.188531557053202 0.0876567371289985
"181" 46 "Congruent" 1.8538175 0.605269570272465 0.394430658446471
"182" 46 "Incongruent" 1.518702 -0.0857554363886366 -0.578900470595684
"183" 46 "Novel" 1.740492 0.267814431154239 0.0652807478506706
"184" 46 "Random" 1.763126 0.402454012788624 0.131020401118694
"185" 47 "Congruent" 3.328167 0.96066519690285 0.34743721312183
"186" 47 "Incongruent" 3.39693 0.960372595547927 0.437372540545874
"187" 47 "Novel" 2.814768 0.125917094534466 -0.324038830159828
"188" 47 "Random" 2.792765 0.269040875840969 -0.352816617768153
"189" 48 "Congruent" 2.813752 1.01677475091824 0.526196303677984
"190" 48 "Incongruent" 2.167842 0.0744624006470787 -0.340870519395075
"191" 48 "Novel" 2.14478 -0.0977541860835283 -0.371828849617104
"192" 48 "Random" 2.3231045 0.070658941954125 -0.13244680306094
