"ID" "condition" "time" "time_n" "time_nmd" "dist" "hits"
"1" 1 "Congruent" 2.281733 -0.164835949325983 -0.380861815714516 0.0132684516666667 13
"2" 1 "Incongruent" 2.3353395 0.058927154754537 -0.265418831777957 0.0424176833333333 6.16666666666667
"3" 1 "Novel" 2.4814115 0.418468894454171 0.0491509974327002 0.0575749733333333 1.33333333333333
"4" 1 "Random" 2.6477695 0.77410578172665 0.407407252209977 0.0603558566666667 3.16666666666667
"5" 10 "Congruent" 4.0329835 0.995129686545291 0.939224466985772 0.0166412116666667 10.3333333333333
"6" 10 "Incongruent" 2.882563 0.248773494287732 -0.160121402132928 0.0243701766666667 9.5
"7" 10 "Novel" 2.481714 -0.252773386214735 -0.543174113980779 0.0549902083333333 0.833333333333333
"8" 10 "Random" 3.130087 0.434285103100919 0.0764134013652169 0.0637180516666667 2.83333333333333
"9" 11 "Congruent" 1.945171 0.482823572607488 -0.261346061189732 0.01516854 10.6666666666667
"10" 11 "Incongruent" 2.033103 1.15282189318863 -0.0289914746226682 0.0389905633333333 5.5
"11" 11 "Novel" 2.125076 1.03990752738755 0.214041191418505 0.0483596116666667 1.83333333333333
"12" 11 "Random" 1.941573 0.376547461538089 -0.270853541998406 0.06771041 1.5
"13" 12 "Congruent" 1.678039 0.120359102094237 -0.190830019180573 0.0293536783333333 11
"14" 12 "Incongruent" 1.813018 0.439239979821754 0.390550076947957 0.0359681166666667 6.83333333333333
"15" 12 "Novel" 1.764362 0.500822846254772 0.180979477393732 0.08025377 0
"16" 12 "Random" 1.632511 -0.356240664090916 -0.386927730798971 0.0686519916666667 1.83333333333333
"17" 13 "Congruent" 1.742434 -0.0684566979520288 -0.41960957196656 0.0121716083333333 15.6666666666667
"18" 13 "Incongruent" 2.120605 0.933345073390911 0.469240445202593 0.0141096366666667 9.83333333333333
"19" 13 "Novel" 1.826961 -0.140919698992583 -0.220938004339066 0.0488287833333333 2
"20" 13 "Random" 2.099962 0.999392649881787 0.420721307287675 0.0648442883333333 3.5
"21" 14 "Congruent" 2.769387 -0.122956192866692 -0.443959806582312 0.0119042533333333 12.3333333333333
"22" 14 "Incongruent" 3.3735885 1.05708687904924 0.258018046241506 0.0278559733333333 11.3333333333333
"23" 14 "Novel" 3.173162 0.379761902015375 0.0251570485131107 0.0761502666666667 0.333333333333333
"24" 14 "Random" 3.39537 0.54229640037113 0.283324389574454 0.07210385 2.33333333333333
"25" 15 "Congruent" 2.904714 0.72673497179604 0.371705479299794 0.012430725 13.8333333333333
"26" 15 "Incongruent" 2.2003205 -0.232448818771089 -0.568288717364823 0.0179181383333333 13.3333333333333
"27" 15 "Novel" 2.6016835 0.207129789894905 -0.0326805796464871 0.0691685683333333 0.5
"28" 15 "Random" 2.925297 0.794274538708622 0.399172939675206 0.062911545 2
"29" 16 "Congruent" 2.112695 1.14750080174626 0.563003989546924 0.0148394466666667 13.5
"30" 16 "Incongruent" 1.342712 -0.850410771440687 -0.976447923418137 0.05316918 4.83333333333333
"31" 16 "Novel" 1.87789 0.310276437072213 0.0935507595096882 0.04577334 6
"32" 16 "Random" 1.967844 0.381179580076014 0.273398700800417 0.0613384166666667 2.66666666666667
"33" 17 "Congruent" 2.746323 0.671925138872559 0.0417207471207064 0.0118531983333333 13.3333333333333
"34" 17 "Incongruent" 3.697319 1.53127610858306 0.966381392411983 0.0225436183333333 11.5
"35" 17 "Novel" 2.6248785 0.706413511664673 -0.0763606640914086 0.02084291 8.66666666666667
"36" 17 "Random" 2.135406 -0.315247642784685 -0.552278499394958 0.06587461 1.83333333333333
"37" 18 "Congruent" 2.702715 0.758120934947482 0.47509035844315 0.0124660466666667 11.8333333333333
"38" 18 "Incongruent" 2.59318 0.382474107790305 0.30848098244902 0.04313739 8.5
"39" 18 "Novel" 2.299586 -0.135354056667531 -0.138093291852531 0.0547357983333333 2.66666666666667
"40" 18 "Random" 1.787965 -0.712090556029777 -0.916299851906328 0.064592765 2.33333333333333
"41" 19 "Congruent" 1.610538 -0.837052952733 -0.934712197415194 0.01279002 14.1666666666667
"42" 19 "Incongruent" 2.2812625 0.265220709497626 -0.0230781640880545 0.026182525 9.83333333333333
"43" 19 "Novel" 2.843565 1.40552736946749 0.741191064223919 0.0451111783333333 5.16666666666667
"44" 19 "Random" 2.548396 1.17070510128066 0.340003831637158 0.0595387566666667 3
"45" 2 "Congruent" 2.146807 -0.0112825495396547 -0.223249036747533 0.00883744966666667 14
"46" 2 "Incongruent" 2.469309 0.763347353828115 0.315805355522486 0.0153395016666667 12
"47" 2 "Novel" 2.436361 0.814576916104167 0.260733560257612 0.0422352833333333 3.16666666666667
"48" 2 "Random" 2.435621 0.605418208772572 0.259496667927394 0.0555883783333333 3.83333333333333
"49" 20 "Congruent" 3.675374 -0.203337547948353 -0.415762015405912 0.00973403733333333 14.1666666666667
"50" 20 "Incongruent" 4.736129 0.449017942805841 0.211755239265231 0.01337565 12.8333333333333
"51" 20 "Novel" 5.280925 0.570745991455131 0.534043505901561 0.0393355516666667 4.5
"52" 20 "Random" 4.153653 0.0315217355282938 -0.132823612997382 0.0624351933333333 3.16666666666667
"53" 21 "Congruent" 3.484637 0.10557227753701 0.0532959698188569 0.01365638 12.3333333333333
"54" 21 "Incongruent" 3.329631 0.0826993236008432 -0.069722690242222 0.03146331 9.66666666666667
"55" 21 "Novel" 3.4304565 0.24259585490131 0.0102962632820822 0.0613055616666667 0.166666666666667
"56" 21 "Random" 3.08237 0.229754512732423 -0.265958428893386 0.05861164 2.66666666666667
