ID,age,sex,eye_d,training,block,trial,condition,vertical_pos,preonset,onset_timestamp,detection_timestamp,detection,detected,obj_type,indicated_obj,obj_location,indicated_location,decision_time,accuracy
18,28,Female,Left,True,0,1,Novel,0.004115569,0.4261083,2022-08-05 16:59:50.259,2022-08-05 17:00:04.266,14,False,1,1,4,4,16.17992,True
18,28,Female,Left,True,0,2,Incongruent,0.003111282,0.5301415,2022-08-05 17:00:21.982,2022-08-05 17:00:35.990,14,False,3,3,4,4,6.164988,True
18,28,Female,Left,True,0,3,Random,0.003788025,0.4533662,2022-08-05 17:00:43.616,2022-08-05 17:00:57.627,14,False,2,2,3,3,2.864188,True
18,28,Female,Left,True,0,4,Random,-0.001116871,0.5631722,2022-08-05 17:01:02.061,2022-08-05 17:01:16.027,13.96281,True,2,2,3,3,1.40951,True
18,28,Female,Left,True,0,5,Random,0.004581545,0.5370625,2022-08-05 17:01:19.007,2022-08-05 17:01:23.140,4.134684,True,2,2,1,1,3.799689,True
18,28,Female,Left,True,0,6,Incongruent,-0.003405923,0.3096117,2022-08-05 17:01:28.262,2022-08-05 17:01:32.848,4.578653,True,3,3,4,4,1.206031,True
18,28,Female,Left,True,0,7,Incongruent,0.001414543,0.586335,2022-08-05 17:01:35.658,2022-08-05 17:01:48.622,12.95867,True,3,3,2,2,1.562605,True
18,28,Female,Left,True,0,8,Incongruent,-0.0018684,0.5415618,2022-08-05 17:01:51.742,2022-08-05 17:01:56.440,4.692484,True,3,3,1,1,1.182715,True
18,28,Female,Left,True,0,9,Congruent,0.002232525,0.5344071,2022-08-05 17:01:59.183,2022-08-05 17:02:05.150,5.967339,True,4,4,3,3,1.655526,True
18,28,Female,Left,True,0,10,Novel,0.004108163,0.5943737,2022-08-05 17:02:08.421,2022-08-05 17:02:13.473,5.050166,True,1,1,2,2,1.02759,True
18,28,Female,Left,True,0,11,Congruent,0.00307529,0.325383,2022-08-05 17:02:15.835,2022-08-05 17:02:20.755,4.916245,True,4,4,2,2,1.047546,True
18,28,Female,Left,True,0,12,Congruent,-0.003998724,0.3775057,2022-08-05 17:02:23.197,2022-08-05 17:02:37.204,14,False,4,4,2,2,1.343646,True
