ID,age,sex,eye_d,training,block,trial,condition,vertical_pos,preonset,onset_timestamp,detection_timestamp,detection,detected,obj_type,indicated_obj,obj_location,indicated_location,decision_time,accuracy
15,23,Female,Right,True,0,1,Random,-0.002577409,0.5822272,2022-08-04 19:23:59.684,2022-08-04 19:24:13.693,14,False,4,4,2,2,3.405531,True
15,23,Female,Right,True,0,2,Novel,0.002978468,0.3786693,2022-08-04 19:24:18.507,2022-08-04 19:24:22.017,3.509071,True,1,1,4,4,0.9402806,True
15,23,Female,Right,True,0,3,Congruent,-0.003127563,0.5024405,2022-08-04 19:24:24.483,2022-08-04 19:24:27.861,3.374629,True,3,3,1,1,1.54451,True
15,23,Female,Right,True,0,4,Incongruent,0.001188782,0.5935649,2022-08-04 19:24:31.008,2022-08-04 19:24:34.048,3.038249,True,2,2,1,1,2.056438,True
15,23,Female,Right,True,0,5,Congruent,-0.0007505794,0.3805902,2022-08-04 19:24:37.495,2022-08-04 19:24:41.791,4.290231,True,3,3,1,1,1.452541,True
15,23,Female,Right,True,0,6,Congruent,0.001169854,0.4939891,2022-08-04 19:24:44.766,2022-08-04 19:24:48.346,3.572262,True,3,3,1,1,1.120076,True
15,23,Female,Right,True,0,7,Novel,0.001945542,0.3919939,2022-08-04 19:24:50.899,2022-08-04 19:24:56.085,5.183151,True,1,1,4,4,1.909025,True
15,23,Female,Right,True,0,8,Random,0.003257615,0.3090639,2022-08-04 19:24:59.312,2022-08-04 19:25:02.643,3.328301,True,4,4,3,3,3.551236,True
15,23,Female,Right,True,0,9,Congruent,0.001792952,0.5360533,2022-08-04 19:25:07.745,2022-08-04 19:25:10.562,2.814452,True,3,3,4,4,1.143424,True
15,23,Female,Right,True,0,10,Random,-0.0006080717,0.3555184,2022-08-04 19:25:13.070,2022-08-04 19:25:16.226,3.147904,True,4,4,3,3,1.431129,True
15,23,Female,Right,True,0,11,Incongruent,0.004208981,0.5551897,2022-08-04 19:25:19.227,2022-08-04 19:25:21.420,2.189404,True,2,2,1,1,1.252599,True
15,23,Female,Right,True,0,12,Novel,0.001161285,0.3108005,2022-08-04 19:25:24.006,2022-08-04 19:25:27.786,3.773669,True,1,1,4,4,0.8049675,True
15,23,Female,Right,True,0,13,Novel,0.001305446,0.5877913,2022-08-04 19:25:30.194,2022-08-04 19:25:33.348,3.148266,True,1,1,3,3,0.8031598,True
15,23,Female,Right,True,0,14,Random,0.002383147,0.3228981,2022-08-04 19:25:35.477,2022-08-04 19:25:37.828,2.343711,True,4,4,1,1,0.9940753,True
