"ID" "condition" "block" "time" "time_n" "time_nmd" "dist" "hits"
"1" 1 "Congruent" 1 2.459182 0.0276053853574585 0.00127919435998086 0.012755475 14
"2" 1 "Congruent" 2 2.437655 0.00718151177077028 -0.0450797567971054 0.0129773 12
"3" 1 "Congruent" 3 2.235946 -0.529294745106177 -0.479465304200114 0.01407258 13
"4" 1 "Incongruent" 1 2.840185 1.00588857105766 0.821779007046517 0.04565534 7
"5" 1 "Incongruent" 2 2.413852 -0.235214720504647 -0.0963401328082592 0.03538018 7.5
"6" 1 "Incongruent" 3 2.076462 -0.648294014709732 -0.822918222225693 0.04621753 4
"7" 1 "Novel" 1 2.524497 0.666926251414673 0.141936735811416 0.075963575 1
"8" 1 "Novel" 2 2.502721 0.48342365038397 0.0950415567155506 0.04809974 1
"9" 1 "Novel" 3 2.4134135 0.0789391054896796 -0.0972844538972346 0.048661605 2
"10" 1 "Random" 1 2.960148 1.839771318341 1.0801224296162 0.06813162 4
"11" 1 "Random" 2 2.438235 0.294813217328449 -0.0438307117991437 0.066737085 2.5
"12" 1 "Random" 3 2.502421 0.26970708155776 0.0943954989579841 0.046198865 3
"13" 10 "Congruent" 1 4.31097 1.52111625387278 1.20486934244285 0.017064385 10
"14" 10 "Congruent" 2 3.752734 0.661626167731395 0.671417060782926 0.016895715 10.5
"15" 10 "Congruent" 3 3.774405 0.786606383988903 0.69212594447343 0.015963535 10.5
"16" 10 "Incongruent" 1 3.3953115 0.803206809650396 0.329862864812776 0.025790775 8
"17" 10 "Incongruent" 2 2.754767 -0.240584467408565 -0.282243708446048 0.02335108 10.5
"18" 10 "Incongruent" 3 2.838647 0.226346857187723 -0.202087685929345 0.023968675 10
"19" 10 "Novel" 1 2.546513 0.0955090793129457 -0.481251962060658 0.05888254 0
"20" 10 "Novel" 2 2.613688 -0.305014563989764 -0.417059296198003 0.047512065 1
"21" 10 "Novel" 3 2.41221 -0.548814673967387 -0.609592380420943 0.05857602 1.5
